taxid,taxname
151038,Anaeroarcus
33055,Candidatus Kinetoplastibacterium
294702,Proteiniphilum
106633,Thioalkalivibrio
69959,Rhodospira
1612157,Pararhodospirillum
53365,Catellatospora
207599,Solirubrobacter
669357,Geminocystis
490567,Arenimonas
1134403,Melioribacter
303379,Herminiimonas
204037,Dickeya
71666,Waddlia
1121251,Cucumibacter
682522,Ilumatobacter
114185,Candidatus Carsonella
53572,Deferribacter
2035349,Oceanispirochaeta
62608,Thermocladium
1210119,Ohtaekwangia
46913,Devosia
146784,Bacteriovorax
89342,Desulfocella
262,Francisella
58113,Glycomyces
1541822,Pseudophaeobacter
649462,Gracilimonas
83770,Succinivibrio
1549126,Desulfatiglans
118004,Chrysiogenes
81461,Thermanaerovibrio
70774,Hydrogenophilus
447467,Simiduia
669368,Coleofasciculus
351195,Salimicrobium
1968882,Hymenobacter
146813,Dendrosporobacter
146936,Azonexus
75905,Thermocrinis
129577,Oceanimonas
49184,Kineosporia
72021,Methylarcula
42837,Ammonifex
230494,Reinekea
2013,Nocardiopsis
34093,Simkania
499228,Tepidanaerobacter
204475,Gemmiger
1652133,Halobacteriovorax
252356,Maribacter
2299,Desulfosarcina
1817,Nocardia
862261,Caldanaerobius
137583,Thalassomonas
28222,Desulfobacula
32636,Halothermothrix
286104,Winogradskyella
843,Wolinella
65496,Actinoalloteichus
85274,Rhodovibrio
73918,Thermaerobacter
458032,Chloracidobacterium
2357,Desulfomonile
414715,Actinospica
160798,Marinitoga
140458,Thermacetogenium
332157,Larkinella
252306,Robiginitalea
1649459,Hungatella
670516,Mycobacteroides
379068,Galbibacter
232115,Mesonia
225842,Formosa
50,Chondromyces
1742989,Glutamicibacter
305899,Endozoicomonas
1988,Actinomadura
412033,Celerinatantimonas
171436,Tistrella
281119,Candidatus Amoebophilus
133193,Alkalilimnicola
670486,Dehalogenimonas
1247519,Flagellimonas
1175,Aphanizomenon
204286,Cobetia
471826,Candidatus Desulforudis
1649480,Planctopirus
42255,Rubrobacter
79598,Heliorestis
40,Stigmatella
1453359,Candidatus Atelocyanobacterium
283785,Bizionia
471798,Shimazuella
171673,Inquilinus
59753,Alcanivorax
1055323,Aeribacillus
2184,Methanococcus
651456,Kosmotoga
518746,Limibacter
332652,Koukoulia
2044,Pimelobacter
359337,Marinimicrobium
1064,Rhodocyclus
1099,Pelodictyon
718013,Thermasporomyces
